HOUR,#OFOCCUPANTS
0,13
1,4
2,3
3,8
4,11
5,11
6,13
7,14
8,6
9,10
10,13
11,10
12,8
13,14
14,0
15,13
0,3
1,4
2,13
3,5
4,5
5,10
6,12
7,6
8,9
9,10
10,2
11,8
12,13
13,13
14,5
15,13
0,14
1,14
2,0
3,0
4,7
5,14
6,1
7,8
8,8
9,14
10,20
11,7
12,4
13,7
14,10
15,10
0,8
1,3
2,5
3,8
4,8
5,6
6,0
7,2
8,7
9,2
10,10
11,7
12,3
13,7
14,5
15,7
0,2
1,5
2,5
3,6
4,8
5,1
6,9
7,6
8,5
9,8
10,8
11,5
12,10
13,6
14,6
15,9
0,2
1,5
2,4
3,3
4,3
5,1
6,0
7,3
8,10
9,1
10,6
11,7
12,9
13,3
14,1
15,3
0,1
1,3
2,0
3,0
4,3
5,6
6,5
7,8
8,3
9,1
10,5
11,10
12,3
13,8
14,7
15,0
0,3
1,3
2,2
3,6
4,8
5,0
6,6
7,9
8,2
9,1
10,2
11,5
12,10
13,3
14,9
15,2
0,6
1,5
2,9
3,0
4,2
5,5
6,1
7,8
8,7
9,4
10,0
11,5
12,0
13,8
14,3
15,3
0,3
1,5
2,7
3,2
4,5
5,4
6,0
7,8
8,9
9,9
10,7
11,3
12,0
13,8
14,0
15,3
0,9
1,8
2,7
3,10
4,7
5,3
6,7
7,9
8,4
9,10
10,0
11,10
12,8
13,4
14,1
15,1
0,3
1,4
2,8
3,5
4,9
5,10
6,6
7,2
8,1
9,8
10,4
11,0
12,1
13,6
14,10
15,7
0,7
1,5
2,6
3,0
4,5
5,2
6,4
7,0
8,3
9,7
10,7
11,0
12,6
13,10
14,8
15,10
0,1
1,10
2,3
3,2
4,0
5,6
6,1
7,10
8,6
9,8
10,10
11,3
12,4
13,5
14,4
15,2
0,1
1,9
2,2
3,3
4,2
5,8
6,6
7,1
8,9
9,1
10,1
11,2
12,4
13,1
14,6
15,7
0,2
1,7
2,0
3,46
4,40
5,20
6,0
7,1
8,9
9,28
10,46
11,14
12,22
13,27
14,47
15,7
0,9
1,5
2,47
3,44
4,1
5,28
6,27
7,35
8,0
9,7
10,4
11,17
12,3
13,11
14,19
15,13
0,5
1,0
2,17
3,16
4,3
5,18
6,19
7,3
8,9
9,10
10,9
11,6
12,9
13,10
14,17
15,2
0,7
1,18
2,5
3,1
4,9
5,3
6,10
7,16
8,6
9,7
10,18
11,18
12,7
13,1
14,6
15,4
0,14
1,3
2,0
3,5
4,15
5,20
6,3
7,5
8,12
9,9
10,13
11,18
12,5
13,13
14,2
15,9
0,18
1,14
2,16
3,13
4,4
5,9
6,10
7,2
8,11
9,16
10,2
11,12
12,7
13,6
14,19
15,13
0,1
1,10
2,18
3,18
4,2
5,0
6,3
7,9
8,3
9,10
10,13
11,19
12,6
13,7
14,13
15,11
0,19
1,8
2,13
3,12
4,19
5,4
6,0
7,6
8,14
9,13
10,12
11,16
12,1
13,18
14,5
15,2
0,6
1,5
2,8
3,5
4,13
5,4
6,20
7,0
8,5
9,11
10,19
11,19
12,13
13,10
14,15
15,18
0,4
1,7
2,19
3,8
4,3
5,5
6,1
7,3
8,11
9,0
10,7
11,16
12,18
13,19
14,20
15,11
0,12
1,5
2,12
3,10
4,2
5,17
6,12
7,7
8,4
9,7
10,19
11,12
12,13
13,5
14,1
15,13
0,19
1,11
2,12
3,6
4,3
5,2
6,16
7,9
8,19
9,12
10,17
11,12
12,12
13,1
14,6
15,6
0,13
1,14
2,11
3,12
4,12
5,11
6,2
7,4
8,9
9,11
10,5
11,15
12,17
13,16
14,13
15,20
0,16
1,6
2,17
3,17
4,7
5,3
6,2
7,12
8,17
9,17
10,7
11,18
12,19
13,5
14,8
15,3
0,12
1,13
2,17
3,11
4,11
5,8
6,12
7,15
8,16
9,1
10,13
11,7
12,4
13,11
14,39
15,1
