HOUR,#OFOCCUPANTS
0,8
1,11
2,6
3,10
4,5
5,3
6,5
7,3
8,7
9,6
10,1
11,2
12,0
13,2
14,1
15,7
0,0
1,14
2,11
3,10
4,8
5,5
6,4
7,11
8,0
9,9
10,0
11,12
12,3
13,8
14,14
15,1
0,8
1,1
2,8
3,6
4,14
5,14
6,11
7,14
8,1
9,7
10,10
11,1
12,1
13,8
14,8
15,5
0,3
1,6
2,6
3,9
4,2
5,6
6,3
7,7
8,3
9,2
10,7
11,9
12,6
13,0
14,5
15,4
0,8
1,4
2,3
3,7
4,0
5,10
6,10
7,0
8,6
9,4
10,5
11,5
12,9
13,0
14,10
15,8
0,8
1,2
2,0
3,9
4,1
5,2
6,3
7,8
8,6
9,3
10,3
11,4
12,8
13,7
14,9
15,2
0,1
1,6
2,8
3,2
4,10
5,8
6,6
7,4
8,0
9,0
10,10
11,0
12,5
13,3
14,9
15,1
0,3
1,8
2,2
3,1
4,2
5,2
6,8
7,9
8,6
9,5
10,0
11,8
12,5
13,2
14,0
15,4
0,2
1,3
2,0
3,1
4,8
5,5
6,9
7,1
8,7
9,2
10,6
11,7
12,2
13,5
14,8
15,1
0,9
1,1
2,6
3,7
4,5
5,6
6,10
7,10
8,4
9,8
10,9
11,8
12,2
13,8
14,9
15,9
0,2
1,8
2,3
3,0
4,6
5,4
6,9
7,1
8,0
9,8
10,5
11,10
12,9
13,0
14,2
15,3
0,4
1,4
2,5
3,8
4,2
5,4
6,0
7,10
8,4
9,8
10,5
11,5
12,8
13,3
14,7
15,4
0,8
1,2
2,8
3,7
4,6
5,2
6,3
7,9
8,9
9,7
10,10
11,6
12,3
13,7
14,0
15,1
0,1
1,8
2,4
3,3
4,8
5,1
6,3
7,10
8,8
9,10
10,5
11,0
12,4
13,5
14,4
15,10
0,4
1,0
2,4
3,6
4,10
5,6
6,2
7,9
8,7
9,10
10,3
11,8
12,2
13,5
14,6
15,3
0,3
1,10
2,28
3,17
4,8
5,7
6,13
7,34
8,3
9,40
10,50
11,46
12,15
13,4
14,9
15,41
0,23
1,44
2,24
3,30
4,8
5,45
6,23
7,28
8,41
9,14
10,5
11,7
12,0
13,3
14,19
15,19
0,16
1,9
2,0
3,5
4,2
5,19
6,8
7,6
8,0
9,11
10,18
11,6
12,2
13,13
14,1
15,0
0,2
1,8
2,18
3,12
4,1
5,12
6,12
7,13
8,9
9,8
10,0
11,7
12,17
13,12
14,20
15,20
0,18
1,19
2,6
3,16
4,10
5,4
6,3
7,4
8,4
9,4
10,16
11,20
12,15
13,13
14,9
15,20
0,17
1,9
2,17
3,6
4,9
5,5
6,13
7,12
8,15
9,12
10,8
11,16
12,10
13,19
14,8
15,16
0,10
1,20
2,15
3,12
4,17
5,1
6,11
7,5
8,5
9,20
10,10
11,1
12,12
13,3
14,4
15,15
0,14
1,5
2,14
3,10
4,6
5,3
6,18
7,1
8,20
9,16
10,12
11,9
12,20
13,9
14,1
15,12
0,20
1,11
2,11
3,14
4,18
5,12
6,2
7,16
8,16
9,10
10,0
11,3
12,3
13,17
14,8
15,12
0,4
1,9
2,14
3,11
4,0
5,12
6,16
7,20
8,17
9,10
10,20
11,15
12,4
13,0
14,8
15,13
0,13
1,3
2,5
3,6
4,17
5,12
6,2
7,16
8,0
9,6
10,7
11,7
12,14
13,5
14,4
15,18
0,16
1,8
2,0
3,6
4,6
5,15
6,17
7,9
8,9
9,7
10,0
11,13
12,5
13,9
14,12
15,11
0,14
1,19
2,2
3,1
4,15
5,7
6,6
7,0
8,6
9,4
10,11
11,19
12,16
13,7
14,11
15,0
0,2
1,5
2,11
3,20
4,20
5,8
6,4
7,11
8,5
9,7
10,4
11,18
12,15
13,15
14,18
15,19
0,18
1,17
2,6
3,0
4,14
5,6
6,3
7,11
8,8
9,13
10,19
11,20
12,15
13,11
14,28
15,27
