HOUR,#OFOCCUPANTS
0,3
1,7
2,14
3,9
4,8
5,4
6,3
7,8
8,1
9,5
10,0
11,12
12,11
13,0
14,2
15,10
0,6
1,12
2,8
3,4
4,10
5,9
6,4
7,8
8,1
9,1
10,2
11,14
12,6
13,11
14,13
15,1
0,0
1,8
2,1
3,14
4,4
5,0
6,0
7,7
8,2
9,1
10,21
11,8
12,7
13,5
14,0
15,4
0,3
1,1
2,0
3,3
4,0
5,5
6,2
7,8
8,5
9,10
10,0
11,3
12,8
13,10
14,5
15,0
0,9
1,0
2,2
3,4
4,0
5,1
6,9
7,5
8,3
9,9
10,3
11,5
12,7
13,2
14,4
15,2
0,3
1,4
2,5
3,6
4,8
5,8
6,9
7,1
8,7
9,0
10,7
11,6
12,2
13,10
14,4
15,9
0,7
1,8
2,4
3,0
4,10
5,5
6,7
7,1
8,8
9,7
10,5
11,1
12,10
13,3
14,9
15,9
0,1
1,7
2,5
3,0
4,2
5,3
6,5
7,1
8,3
9,8
10,6
11,4
12,10
13,4
14,1
15,8
0,4
1,6
2,4
3,3
4,10
5,7
6,8
7,0
8,4
9,1
10,6
11,3
12,2
13,1
14,1
15,1
0,0
1,10
2,5
3,7
4,5
5,8
6,1
7,1
8,2
9,0
10,10
11,7
12,5
13,4
14,3
15,2
0,5
1,1
2,3
3,9
4,10
5,0
6,0
7,9
8,1
9,3
10,10
11,9
12,5
13,0
14,10
15,4
0,5
1,2
2,7
3,0
4,5
5,8
6,5
7,2
8,7
9,0
10,5
11,6
12,9
13,8
14,10
15,1
0,3
1,8
2,0
3,10
4,2
5,4
6,1
7,1
8,4
9,0
10,4
11,5
12,6
13,8
14,4
15,8
0,0
1,4
2,0
3,6
4,2
5,3
6,6
7,7
8,10
9,9
10,4
11,4
12,10
13,6
14,5
15,1
0,8
1,2
2,4
3,2
4,10
5,3
6,6
7,0
8,10
9,9
10,2
11,5
12,8
13,6
14,3
15,0
0,6
1,10
2,14
3,17
4,29
5,32
6,20
7,23
8,8
9,11
10,0
11,6
12,40
13,29
14,7
15,26
0,31
1,4
2,1
3,44
4,47
5,16
6,25
7,12
8,19
9,10
10,8
11,18
12,8
13,3
14,13
15,20
0,12
1,0
2,17
3,16
4,1
5,2
6,17
7,1
8,19
9,18
10,8
11,13
12,3
13,11
14,11
15,14
0,17
1,2
2,19
3,16
4,2
5,11
6,8
7,0
8,0
9,4
10,0
11,17
12,16
13,11
14,9
15,16
0,7
1,16
2,11
3,9
4,8
5,5
6,13
7,11
8,7
9,17
10,13
11,14
12,17
13,8
14,20
15,6
0,14
1,10
2,12
3,9
4,11
5,12
6,7
7,12
8,8
9,5
10,15
11,13
12,20
13,16
14,9
15,12
0,9
1,1
2,18
3,4
4,17
5,11
6,5
7,0
8,1
9,20
10,3
11,2
12,9
13,9
14,16
15,7
0,1
1,2
2,10
3,10
4,14
5,6
6,3
7,9
8,0
9,11
10,4
11,5
12,10
13,11
14,5
15,14
0,4
1,0
2,17
3,19
4,18
5,5
6,17
7,15
8,16
9,6
10,2
11,15
12,17
13,6
14,17
15,1
0,8
1,6
2,13
3,19
4,9
5,9
6,1
7,16
8,8
9,7
10,14
11,20
12,2
13,1
14,5
15,19
0,18
1,16
2,15
3,10
4,5
5,1
6,0
7,0
8,4
9,8
10,15
11,13
12,3
13,14
14,18
15,0
0,0
1,9
2,16
3,9
4,7
5,16
6,11
7,3
8,9
9,14
10,3
11,12
12,18
13,19
14,7
15,5
0,3
1,0
2,18
3,0
4,15
5,6
6,18
7,12
8,11
9,6
10,13
11,1
12,5
13,14
14,0
15,2
0,20
1,6
2,11
3,20
4,4
5,4
6,15
7,16
8,20
9,8
10,9
11,8
12,20
13,8
14,18
15,2
0,1
1,6
2,8
3,12
4,12
5,10
6,17
7,5
8,17
9,2
10,17
11,0
12,3
13,11
14,37
15,5
